date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-01-22,55.5765,56.0524,51.5313,52.407,43783380,43783380,-7.2148,-12.101,53.0501,"Jan 22, 16",-0.37129153540331544
2016-01-25,51.8359,53.0827,51.5313,52.3689,18498255,18498255,-0.038072,-0.073,52.6103,"Jan 25, 16",-0.37174860778870544
2016-01-26,52.5402,53.0542,52.3118,52.4355,12844794,12844794,0.066627,0.127,52.62,"Jan 26, 16",-0.37094963086306304
2016-01-27,52.702,53.1303,51.7978,51.893,11044111,11044111,-0.542534,-1.035,52.4526,"Jan 27, 16",-0.37745781377839305
2016-01-28,52.0453,52.1214,49.6372,50.332,18015021,18015021,-1.561,-3.008,50.3119,"Jan 28, 16",-0.39618458526379435
2016-01-29,50.6175,51.1172,50.4938,50.9221,13981128,13981128,0.590126,1.172,50.8676,"Jan 29, 16",-0.3891053617829902
2016-02-01,50.8365,52.3403,50.4462,52.0643,9861884,9861884,1.1422,2.243,51.4691,"Feb 1, 16",-0.3754027875417183
2016-02-02,51.7121,51.7692,50.9126,51.0744,11698372,11698372,-0.989887,-1.901,51.2503,"Feb 2, 16",-0.38727827190648373
2016-02-03,51.398,51.6741,50.2844,51.5027,9729828,9729828,0.428318,0.839,51.0575,"Feb 3, 16",-0.3821401064822702
2016-02-04,51.4742,51.8359,51.2172,51.7597,6904021,6904021,0.256989,0.499,51.6093,"Feb 4, 16",-0.37905696729473126
2016-02-05,52.0833,52.2023,51.2172,51.379,9159567,9159567,-0.380726,-0.736,51.5429,"Feb 5, 16",-0.38362409215347076
2016-02-08,50.6747,50.8745,49.7133,49.8751,11830592,11830592,-1.5039,-2.927,50.0307,"Feb 8, 16",-0.40166585489331375
2016-02-09,49.7419,50.4652,49.4087,50.094,8588920,8588920,0.218918,0.439,50.1579,"Feb 9, 16",-0.3990397880911649
